Sample	s_name	totalpairs	discardpairs	percdiscard	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913147_1	ERR6913147_1	997389	0	0.0	642506	739	354144	64.49
ERR6913154_1	ERR6913154_1	19622	0	0.0	14088	16	5518	71.88
ERR6913157_1	ERR6913157_1	85864	0	0.0	78989	92	6783	92.1
ERR6913165_1	ERR6913165_1	102803	0	0.0	92879	194	9730	90.54
ERR6913243_1	ERR6913243_1	1425684	0	0.0	1277982	2388	145314	89.81
ERR6913250_1	ERR6913250_1	84774	0	0.0	76133	109	8532	89.94
ERR6913253_1	ERR6913253_1	14983	0	0.0	14120	25	838	94.41
ERR6913261_1	ERR6913261_1	4205	0	0.0	3987	1	217	94.84
